한글 종목약명,단축코드,corp_code
에이프로젠바이오로직스,3060,101044
에이프로젠,7460,152385
에이플러스에셋,244920,684802
에이피알,278470,1190568
에코프로머티,450080,1311408
엔씨소프트,36570,261443
NH올원리츠,400760,1480780
NH투자증권,5940,120182
엔케이,85310,172228
엘브이엠씨홀딩스,900140,838500
엘앤에프,66970,398701
LX하우시스,108670,759513
LX홀딩스,383800,1562589
LG헬로비전,37560,222532
엠씨넥스,97520,564562
영보화학,14440,140779
영원무역,111770,776820
영원무역홀딩스,9970,140964
영진약품,3520,141149
영풍,670,141307
영풍제지,6740,141404
영화금속,12280,141413
영흥,12160,141477
예스코홀딩스,15360,105101
오뚜기,7310,141529
오리엔트바이오,2630,141626
오리온,271560,1238169
오리온홀딩스,1800,117577
OCI홀딩스,10060,148896
YG PLUS,37270,249247
와이투솔루션,11690,144720
우리금융지주,316140,1350869
우성,6980,142661
우신시스템,17370,142883
우진,105840,173944
우진아이엔에스,10400,143262
우진플라임,49800,303217
웅진,16880,143651
웅진씽크빅,95720,628189
원림,5820,143794
웰바이오텍,10600,141273
윌비스,8600,104999
유니드,14830,159786
유니드비티플러스,446070,1702017
유니온머티리얼,47400,369833
유니온,910,144252
유니켐,11330,137207
유니퀘스트,77500,414601
유성기업,2920,174004
유수홀딩스,700,163691
유안타증권,3470,117601
유엔젤,72130,416654
유유제약,220,144818
유진투자증권,1200,131054
유한양행,100,145109
유화증권,3460,145190
율촌화학,8730,145260
이건산업,8250,145446
이구산업,25820,145464
이노션,214320,565154
이리츠코크렙,88260,544452
이마트,139480,872984
이수스페셜티케미컬,457190,1762569
이수페타시스,7660,107613
이수화학,5950,145552
이스타코,15020,134565
이아이디,93230,480950
이엔플러스,74610,469799
이연제약,102460,145598
이월드,84680,540605
이지스레지던스리츠,350520,1436628
이지스밸류리츠,334890,1394377
이화산업,760,145686
인디에프,14990,106881
인바이오젠,101140,652423
인스코비,6490,122825
인지컨트롤스,23800,103510
인천도시가스,34590,145862
인터지스,129260,151368
인팩,23810,180795
일동제약,249420,1168383
일동홀딩스,230,146083
일성건설,13360,146232
일성아이에스,3120,146214
일신방직,3200,146269
일신석재,7110,146296
일양약품,7570,146454
일정실업,8500,146542
일진다이아,81000,508274
일진디스플,20760,198697
일진전기,103590,683469
일진하이솔루스,271940,972503
일진홀딩스,15860,146649
잇츠한불,226320,911955
자이에스앤디,317400,367844
자화전자,33240,146861
전방,950,147222
전진건설로봇,79900,372129
제이알글로벌리츠,348950,1415892
제이에스코퍼레이션,194370,332927
제이준코스메틱,25620,136776
제일기획,30000,148276
제일약품,271980,1236897
제일연마,1560,148461
제일파마홀딩스,2620,148443
제주은행,6220,148832
제주항공,89590,555874
조광페인트,4910,148920
조광피혁,4700,148939
조비,1550,148948
조선내화,462520,1770203
조선선재,120030,796994
조일알미늄,18470,149239
조흥,2600,149345
종근당바이오,63160,390055
종근당,185750,992871
종근당홀딩스,1630,149354
주성코퍼레이션,109070,753643
동남합성,23450,115065
KCC,2380,105271
주연테크,44380,269241
기업은행,24110,149646
지누스,13890,150633
GS글로벌,1250,138190
GS리테일,7070,140177
지엠비코리아,13870,156354
지역난방공사,71320,159698
진도,88790,557933
진양산업,3780,150439
진양폴리,10640,160375
진양홀딩스,100250,646732
진양화학,51630,347734
진에어,272450,653024
진원생명과학,11000,118521
진흥기업,2780,150828
참엔지니어링,9310,153621
천일고속,650,151395
청호ICT,12600,151863
체시스,33250,125576
카카오뱅크,323410,1133217
카카오,35720,258801
카카오페이,377300,1244601
카프로,6380,159810
케이비아이동국실업,1620,114765
KC그린홀딩스,9440,159971
케이씨,29460,209780
KCC글라스,344820,1428203
KC코트렐,119650,797364
케이씨텍,281820,1261893
KIB플러그에너지,15590,108746
KSS해운,44450,160232
KEC,92220,589127
케이카,381970,1323032
케이탑리츠,145270,861076
KT,30200,190321
스카이라이프,53210,349097
KTcs,58850,372882
KTis,58860,372873
KT&G,33780,244455
코람코더원리츠,417310,1180118
코람코라이프인프라리츠,357120,1430475
코리아써키트,7810,152686
코리안리,3690,113191
코스맥스,192820,1009789
코스맥스비티아이,44820,219574
코스모신소재,5070,129989
코스모화학,5420,160302
코아스,71950,210856
코오롱글로벌,3070,152880
코오롱모빌리티그룹,450140,1712485
코오롱,2020,152862
코오롱ENP,138490,241005
코오롱인더,120110,795135
코웨이,21240,170558
콘텐트리중앙,36420,203315
콜마홀딩스,24720,203290
콤텍시스템,31820,186559
쿠쿠홀딩스,192400,132354
쿠쿠홈시스,284740,1267684
크라운제과,264900,1205329
크라운해태홀딩스,5740,153126
크래프톤,259960,760971
키다리스튜디오,20120,140131
키움증권,39490,296290
태경비케이,14580,122481
태경산업,15890,153339
태경케미컬,6890,109161
태광산업,3240,153393
태림포장,11280,153524
태양금속,4100,153755
태영건설,9410,153861
태원물산,1420,154055
테이팩스,55490,256955
텔코웨어,78000,361488
토니모리,214420,816544
티에이치엔,19180,118965
TYM,2900,117230
티와이홀딩스,363280,1497869
티웨이항공,91810,671376
티웨이홀딩스,4870,109514
TKG휴켐스,69260,426086
TP,7980,154329
파라다이스,34230,171265
파미셀,5690,145163
팜스코,36580,260408
팜젠사이언스,4720,135050
팬오션,28670,122737
퍼스텍,10820,148522
퍼시스,16800,161709
페이퍼코리아,1020,134723
평화산업,90080,573579
평화홀딩스,10770,155124
포스코DX,22100,155212
포스코스틸리온,58430,155258
포스코인터내셔널,47050,124504
포스코퓨처엠,3670,155276
POSCO홀딩스,5490,155319
풀무원,17810,155355
풍산,103140,684714
풍산홀딩스,5810,155531
프레스티지바이오파마,950210,1510489
플레이그램,9810,103130
PI첨단소재,178920,767460
하나금융지주,86790,547583
하나제약,293480,248974
하나투어,39130,269940
하이브,352820,1204056
하이스틸,71090,435312
하이트론,19490,156150
하이트진로,80,150244
하이트진로홀딩스,140,148993
한국가스공사,36460,261285
한국공항,5430,156691
한국내화,10040,160205
한국단자,25540,157070
한국무브넥스,10100,160418
한국석유,4090,157991
한국수출포장,2200,158112
한국쉘석유,2960,158149
한국앤컴퍼니,240,160047
유나이티드제약,33270,158963
한국자산신탁,123890,404701
한국전력,15760,159193
한전기술,52690,159209
한국전자홀딩스,6200,159254
한국제지,27970,133706
한국종합기술,23350,159500
한국주강,25890,159564
한국주철관,970,159573
한국철강,104700,687711
한국카본,17960,159795
한국콜마,161890,939331
한국타이어앤테크놀로지,161390,937324
한국토지신탁,34830,233653
한국ANKOR유전,152550,907013
한국패러랠,168490,960641
한국금융지주,71050,432102
한국특강,7280,124090
한국항공우주,47810,309503
한국화장품,123690,823429
한국화장품제조,3350,160621
한농화성,11500,160861
한독,2390,161046
한미글로벌,53690,413523
한미반도체,42700,161383
한미사이언스,8930,161426
한미약품,128940,828497
한샘,9240,161693
한섬,20000,188089
한성기업,3680,161860
한세실업,105630,728638
한세엠케이,69640,357360
한세예스24홀딩스,16450,161976
한솔PNS,10420,103626
한솔로지스틱스,9180,140946
한솔제지,213500,1060744
한솔케미칼,14680,140955
한솔테크닉스,4710,157399
한솔홀딩스,4150,171636
한솔홈데코,25750,203582
한신공영,4960,162063
한신기계,11700,162072
한양증권,1750,162416
한온시스템,18880,161125
한올바이오파마,9420,162586
한익스프레스,14130,129509
한일시멘트,300720,1319808
한일철강,2220,163196
한일현대시멘트,6390,164672
한일홀딩스,3300,162993
한전KPS,51600,159218
한전산업,130660,194947
한진,2320,163512
한진중공업홀딩스,3480,163673
한진칼,180640,983040
한창,5110,163716
한창제지,9460,163761
한컴라이프케어,372910,534598
한화갤러리아,452260,1722437
한화리츠,451800,1669226
한화,880,160588
한화생명,88350,113058
한화손해보험,370,135917
한화솔루션,9830,162461
한화시스템,272210,339391
한화에어로스페이스,12450,126566
한화엔진,82740,361008
한화오션,42660,111704
한화인더스트리얼솔루션즈,489790,1867758
한화투자증권,3530,148610
해성디에스,195870,1032413
해태제과식품,101530,428321
핸즈코퍼레이션,143210,119140
현대건설,720,164478
현대그린푸드,453340,1721809
현대글로비스,86280,360595
현대로템,64350,302926
현대리바트,79430,300548
현대모비스,12330,164788
현대백화점,69960,428251
현대비앤지스틸,4560,125743
현대약품,4310,164706
현대엘리베이,17800,164724
현대오토에버,307950,362441
현대위아,11210,106623
현대차,5380,164742
현대제철,4020,145880
현대지에프홀딩스,5440,105280
현대차증권,1500,137997
현대코퍼레이션,11760,164812
현대코퍼레이션홀딩스,227840,1108099
현대퓨처넷,126560,403632
현대해상,1450,164973
현대홈쇼핑,57050,412597
형지엘리트,93240,441243
혜인,3010,165343
호전실업,111110,226316
호텔신라,8770,165680
화승알앤에이,378850,1532603
화승엔터프라이즈,241590,1128613
화승인더,6060,166227
화승코퍼레이션,13520,166272
화신,10690,166315
화인베스틸,133820,661847
화천기계,10660,166500
화천기공,850,166519
환인제약,16580,166573
황금에스티,32560,218575
효성,4800,117188
효성ITX,94280,414850
효성중공업,298040,1316245
효성티앤씨,298020,1316227
효성화학,298000,1316236
후성,93370,595191
휠라홀딩스,81660,195229
휴니드,5870,111421
휴비스,79980,362238
휴스틸,5010,156488
흥국화재,540,103176
흥아해운,3280,167208
